gid,gid_root,gid0,file_country,level,file
Z01.14.4_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.5_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.6_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.7_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.8_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.9_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.10_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.11_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.12_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.13_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.14_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.15_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.16_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.17_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.18_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.19_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.20_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.21_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z01.14.22_1,Z01,Z01,IND,2,gadm41_IND_2.json
Z05.35.3_1,Z05,Z05,IND,2,gadm41_IND_2.json
Z05.35.9_1,Z05,Z05,IND,2,gadm41_IND_2.json
Z09.35.13_1,Z09,Z09,IND,2,gadm41_IND_2.json
Z06.1.1_1,Z06,Z06,IND,2,gadm41_IND_2.json
Z06.6.1_1,Z06,Z06,IND,2,gadm41_IND_2.json
Z02.28.9_1,Z02,Z02,IND,2,gadm41_IND_2.json
Z03.28.10_1,Z03,Z03,IND,2,gadm41_IND_2.json
Z03.29.4_1,Z03,Z03,IND,2,gadm41_IND_2.json
Z08.29.4_1,Z08,Z08,IND,2,gadm41_IND_2.json
Z07.3.1.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.3.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.4.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.5.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.6.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.7.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.9.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.10.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.12.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.13.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.15.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.16.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.17.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z07.3.18.1_1,Z07,Z07,IND,3,gadm41_IND_3.json
Z09.13.5.2_1,Z09,Z09,IND,3,gadm41_IND_3.json
Z04.13.5.3_1,Z04,Z04,IND,3,gadm41_IND_3.json
Z09.13.5.6_1,Z09,Z09,IND,3,gadm41_IND_3.json
Z04.13.7.2_1,Z04,Z04,IND,3,gadm41_IND_3.json
Z01.14.1.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.2.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.3.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.4.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.5.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.6.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.6.2_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.7.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.8.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.9.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.10.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.11.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.11.2_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.12.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.13.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.14.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.15.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.16.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.17.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.18.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.19.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.20.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.21.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z01.14.22.1_1,Z01,Z01,IND,3,gadm41_IND_3.json
Z05.35.3.2_1,Z05,Z05,IND,3,gadm41_IND_3.json
Z05.35.9.3_1,Z05,Z05,IND,3,gadm41_IND_3.json
Z09.35.13.1_1,Z09,Z09,IND,3,gadm41_IND_3.json
Z06.1.1.1_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.1.1.2_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.1.1.3_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.1.1.4_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.1.1.5_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.1.1.6_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.1.1.7_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.1.1.8_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.6.1.1_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.6.1.2_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.6.1.3_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.6.1.4_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.6.1.5_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z06.6.1.6_1,Z06,Z06,IND,3,gadm41_IND_3.json
Z02.28.9.8_1,Z02,Z02,IND,3,gadm41_IND_3.json
Z03.28.10.1_1,Z03,Z03,IND,3,gadm41_IND_3.json
Z08.29.4.3_1,Z08,Z08,IND,3,gadm41_IND_3.json
Z03.29.4.6_1,Z03,Z03,IND,3,gadm41_IND_3.json
Z06,Z06,Z06,PAK,0,gadm41_PAK_0.json
